subject_id,qc_group,qc_score,dice_ct_vs_real,dice_gen_vs_real,hausdorff_ct_vs_real,hausdorff_gen_vs_real
sub-1333365,LOW,0.7970625,0.8261851015801355,0.6510597912053148,4.358898943540674,4.58257569495584
sub-1381512,HIGH,0.8130124999999999,0.7773431043032674,0.7604965684295518,4.242640687119285,4.69041575982343
sub-1351241,LOW,0.798225,0.8218178416054638,0.7983034438246277,4.123105625617661,4.0
sub-1305767,HIGH,0.8205999999999999,0.7433445615560144,0.7874938935026868,6.164414002968976,3.0
sub-1305259,HIGH,0.80055,0.7170373523464936,0.7763983691419671,27.294688127912362,3.7416573867739413
sub-1354957,HIGH,0.8087124999999998,0.7811914987336196,0.691950137333615,3.605551275463989,4.69041575982343
sub-1254038,HIGH,0.8137125,0.8123813827383642,0.8037939211036862,5.0,3.7416573867739413
sub-1370530,HIGH,0.8117375,0.7298931383577053,0.6836105150214592,29.017236257093817,4.123105625617661
sub-1379670,HIGH,0.80415,0.7827117375576899,0.7648230088495576,3.7416573867739413,3.605551275463989
sub-802902,HIGH,0.8064625000000001,0.7725159790819291,0.644876806982453,66.27971031922213,4.58257569495584
sub-1301533,LOW,0.7922125,0.8010545330273886,0.7794553272814142,11.224972160321824,3.3166247903554
sub-1182607,LOW,0.7343500000000001,0.7564902394848058,0.8173481593053649,6.0,3.605551275463989
sub-1070908,HIGH,0.8049124999999999,0.7706909643128322,0.7438088594349495,49.44694126030446,4.123105625617661
sub-1373146,HIGH,0.8012,0.7763071210397078,0.7469498418436512,37.54996671103717,3.3166247903554
sub-274440,HIGH,0.8089875,0.8183438863957706,0.7522653445033339,3.1622776601683795,3.7416573867739413
sub-272693,HIGH,0.807775,0.7959869907943333,0.7523114855146907,41.78516483155236,4.58257569495584
sub-1311356,LOW,0.7979625,0.8135277995301488,0.7374767179688266,31.38470965295043,4.358898943540674
sub-1310451,HIGH,0.8202375,0.806537240410139,0.7420766756314929,28.106938645110393,4.123105625617661
sub-899161,HIGH,0.8258125000000001,0.7248295023995959,0.6497849514328516,41.340053217188775,4.58257569495584
sub-1322149,HIGH,0.8014124999999999,0.7151574059074464,0.6716425239381292,37.21558813185679,4.123105625617661
sub-1150690,HIGH,0.8082,0.8079944746611414,0.7986424402963453,5.916079783099616,4.242640687119285
sub-1293678,HIGH,0.8127125,0.7646105649778546,0.7260017223038346,44.395945760846224,3.605551275463989
sub-1333345,LOW,0.794575,0.7557354925775979,0.7469255663430421,26.038433132583073,5.385164807134504
sub-907642,LOW,0.7981750000000001,0.7530120481927711,0.7993491930873752,40.755367744629666,4.123105625617661
sub-1310463,HIGH,0.800625,0.8436282693377852,0.8425938566552901,3.4641016151377544,3.3166247903554
sub-1137632,LOW,0.7878375000000001,0.7196504835305091,0.7577232813139815,6.4031242374328485,4.123105625617661
sub-1309056,LOW,0.7708875,0.6067877956804937,0.752133087510183,45.8475735453906,4.0
sub-1287396,LOW,0.742325,0.5367138623641752,0.6901717022469048,51.86520991955976,4.123105625617661
sub-1344324,HIGH,0.8103374999999999,0.8041398601398602,0.7471638655462185,57.043842787806646,3.3166247903554
sub-1369744,HIGH,0.8051875000000001,0.7798105358127412,0.7184643510054844,65.39877674696982,4.242640687119285
sub-1212986,LOW,0.75465,0.7242051406992326,0.7871816766286605,8.602325267042627,3.4641016151377544
sub-905700,HIGH,0.8136999999999999,0.7647846889952153,0.6821408555949935,19.28730152198591,4.47213595499958
sub-1297719,HIGH,0.813375,0.7467741112867853,0.7365654479748439,69.18814927427962,3.7416573867739413
sub-1419664,LOW,0.7737875000000001,0.530630540890527,0.769531737773153,26.343879744638983,5.0990195135927845
sub-1388894,HIGH,0.8000375,0.7892115065296414,0.8358348968105066,4.69041575982343,5.0990195135927845
sub-1356595,LOW,0.7921125,0.8067407220398889,0.7223876892529164,53.68426212587819,4.123105625617661
sub-1367689,HIGH,0.8066,0.8273165778116273,0.8424236695339824,31.0,3.7416573867739413
sub-1322373,HIGH,0.82195,0.6905805334631824,0.7600257132967413,20.615528128088304,3.7416573867739413
